bike_id,count,duration
15125,1178,1057295
15126,1143,1021585
15127,949,920155
15130,926,798834
15131,1038,1014910
15133,908,737764
15134,1035,935926
15135,158,92854
15136,776,672460
15137,954,798180
15138,943,839862
15139,817,777229
15140,1098,869433
15141,1007,916039
15145,906,763809
15146,1065,1034917
15148,912,1134665
15149,933,766500
15151,928,871810
15152,927,796021
15153,975,815329
15154,1029,944689
15155,66,58972
15157,800,975861
15158,712,697086
15160,918,793384
15161,879,866856
15162,804,681361
15163,947,841237
15164,790,647323
15166,602,542728
15167,1107,1029432
15169,703,717604
15170,1225,1013086
15172,681,663738
15173,956,1131833
15174,868,1104956
15175,108,70731
15176,1044,923063
15177,143,115109
15178,1155,1455591
15180,989,889052
15181,1012,812340
15183,1144,1051054
15184,538,566122
15185,690,622566
15186,652,654246
15187,624,680774
15189,774,670111
15190,830,682236
15191,987,1323662
15193,853,749802
15194,1066,929107
15195,898,1017562
15197,837,725915
15198,725,640924
15200,1110,1282974
15201,486,459706
15202,796,727831
15203,10,7530
15204,908,724648
15205,1212,1043275
15207,869,664101
15208,932,1022377
15209,1008,908247
15210,1056,901450
15211,690,1323706
15212,518,413800
15215,1191,983960
15216,541,603405
15218,771,579223
15219,1051,1579689
15220,1059,880087
15221,1004,922103
15222,739,784832
15223,1036,904494
15224,655,571192
15226,903,869775
15228,810,810290
15230,749,657165
15231,832,1353389
15232,254,716484
15235,406,341325
15236,868,760802
15237,992,976547
15238,932,777192
15239,364,332159
15240,901,906198
15241,581,495280
15242,697,632140
15244,104,73260
15248,948,1076514
15249,1041,1911764
15250,1158,1075991
15251,922,841537
15252,642,1041058
15253,997,887720
15254,938,1083020
15255,1092,1111631
15256,497,439514
15258,721,706060
15259,773,755108
15261,978,834497
15263,1037,928095
15264,755,772835
15265,960,785523
15266,676,1990245
15267,900,940896
15268,960,932481
15269,1036,915502
15270,976,978542
15271,337,290265
15273,708,641579
15275,664,650011
15276,698,650955
15277,979,1378054
15278,915,829977
15279,639,897299
15281,515,886580
15283,1093,1201197
15285,954,854897
15286,499,398727
15288,875,860536
15289,902,775746
15290,963,1058134
15292,80,69835
15293,883,695821
15294,551,494811
15296,982,848263
15297,148,98665
15298,703,636178
15299,993,890096
15300,727,798346
15301,510,414637
15302,786,636567
15304,744,705531
15305,851,1991807
15306,914,806442
15307,938,765752
15308,782,700549
15309,666,575369
15310,563,1092847
15312,877,904125
15313,665,625975
15314,690,1478626
15315,548,430283
15316,862,731740
15317,687,759512
15318,968,1013418
15319,1024,3113000
15320,983,945829
15321,879,863669
15322,729,648464
15323,1012,916075
15324,735,641547
15325,392,282033
15327,1065,971219
15328,827,682057
15330,1207,1110764
15331,907,750471
15332,1173,992003
15333,1109,2645980
15334,787,956900
15335,633,541304
15336,1282,1144613
15337,957,807731
15339,717,1473499
15341,486,452302
15342,811,975746
15344,1045,993604
15345,708,869106
15346,1063,989410
15347,750,1456863
15348,781,617314
15349,654,849514
15350,949,1414333
15352,869,1053183
15353,247,169053
15354,991,854729
15355,929,862526
15356,862,721278
15357,778,709036
15358,766,1556443
15359,960,874374
15360,1099,1760853
15361,909,868214
15362,1079,1001409
15363,976,1015865
15365,817,737549
15367,842,1133190
15369,915,2350072
15372,1084,903553
15373,917,969423
15374,986,3330529
15375,890,1017429
15376,1120,1210158
15377,906,864248
15378,1042,926361
15379,1150,1019116
15380,31,36877
15381,907,877887
15382,1047,1015497
15384,3,1368
15385,573,467583
15387,916,894457
15388,1210,1041710
15390,841,754788
15391,1127,964204
15392,1023,952649
15393,597,804511
15394,1316,1233662
15396,908,775878
15398,1084,942623
15399,864,678429
15400,983,3118341
15401,1246,1096563
15402,539,919916
15403,822,730048
15405,1140,1048926
15406,958,1008812
15409,939,1007901
15410,97,105046
15411,940,819914
15412,585,1611390
15413,695,595219
15414,856,1049970
15415,857,746509
15417,1022,986099
15418,1168,1019496
15419,1133,971085
15420,202,150466
15421,914,752811
15422,384,350111
15423,924,761088
15424,996,1170006
15425,191,126745
15426,915,956078
15427,690,585224
15428,889,820629
15429,767,1121966
15430,814,713957
15431,1036,957955
15432,1166,971652
15433,1113,1026420
15434,1228,1111779
15436,1057,1021221
15437,928,965002
15438,1102,1507856
15439,869,1755022
15440,810,743777
15441,849,737308
15442,713,643787
15443,785,1012454
15444,775,899940
15445,1153,1001542
15446,829,730251
15447,1084,1110321
15448,933,950335
15449,956,773523
15451,1000,1109678
15452,913,905265
15454,906,790999
15455,967,825651
15456,785,666355
15457,776,933530
15459,1207,1547565
15460,943,757897
15461,965,853208
15462,924,790827
15463,904,769548
15465,556,573238
15466,899,726756
15468,896,1806393
15469,1041,951691
15470,1014,1005549
15471,948,718538
15472,744,3085411
15474,596,569842
15475,857,1871468
15476,699,761868
15478,445,1760316
15479,1028,920777
15480,925,789433
15482,1003,875085
15485,857,807742
15486,944,1113306
15487,696,2858495
15489,1130,948691
15490,1127,936226
15491,415,350717
15493,967,946098
15494,1067,1055564
15495,1019,968875
15499,1136,1022767
15502,966,853634
15503,883,891152
15504,435,453269
15505,996,993130
15506,479,1864568
15509,1082,1097289
15510,502,440804
15512,875,998494
15513,925,765762
15514,1069,1061161
15517,907,825468
15520,607,611044
15521,956,823849
15522,781,668425
15524,996,1521492
15525,1065,2462608
15526,437,532873
15528,1057,941011
15529,1150,958635
15530,722,645764
15531,941,1329675
15533,375,396535
15534,816,746599
15535,316,288440
15536,970,1077360
15537,980,910627
