id,month,count
228,2019-05-01 00:00:00,2738
228,2019-06-01 00:00:00,2759
228,2019-07-01 00:00:00,3206
228,2019-08-01 00:00:00,3319
228,2019-09-01 00:00:00,3378
228,2019-10-01 00:00:00,2921
228,2019-11-01 00:00:00,2307
228,2019-12-01 00:00:00,1494
229,2019-01-01 00:00:00,3752
229,2019-02-01 00:00:00,3874
229,2019-03-01 00:00:00,5201
229,2019-04-01 00:00:00,6904
229,2019-05-01 00:00:00,7118
229,2019-06-01 00:00:00,7499
229,2019-07-01 00:00:00,7733
229,2019-08-01 00:00:00,8519
229,2019-09-01 00:00:00,8858
229,2019-10-01 00:00:00,7534
229,2019-11-01 00:00:00,5739
229,2019-12-01 00:00:00,3792
236,2019-01-01 00:00:00,2670
236,2019-02-01 00:00:00,2899
236,2019-03-01 00:00:00,3999
236,2019-04-01 00:00:00,5181
236,2019-05-01 00:00:00,4918
236,2019-06-01 00:00:00,5985
236,2019-07-01 00:00:00,6039
236,2019-08-01 00:00:00,6699
236,2019-09-01 00:00:00,6700
236,2019-10-01 00:00:00,5854
236,2019-11-01 00:00:00,4216
236,2019-12-01 00:00:00,2886
237,2019-01-01 00:00:00,3735
237,2019-02-01 00:00:00,3433
237,2019-03-01 00:00:00,4289
237,2019-04-01 00:00:00,4592
237,2019-05-01 00:00:00,4513
237,2019-06-01 00:00:00,4837
237,2019-07-01 00:00:00,4825
237,2019-08-01 00:00:00,5157
237,2019-09-01 00:00:00,6871
237,2019-10-01 00:00:00,6816
237,2019-11-01 00:00:00,4643
237,2019-12-01 00:00:00,2977
238,2019-01-01 00:00:00,1519
238,2019-02-01 00:00:00,1648
238,2019-03-01 00:00:00,2162
238,2019-04-01 00:00:00,3066
238,2019-05-01 00:00:00,3603
238,2019-06-01 00:00:00,4513
238,2019-07-01 00:00:00,3901
238,2019-08-01 00:00:00,4160
238,2019-09-01 00:00:00,4530
238,2019-10-01 00:00:00,3541
238,2019-11-01 00:00:00,2453
238,2019-12-01 00:00:00,1414
239,2019-01-01 00:00:00,1848
239,2019-02-01 00:00:00,1676
239,2019-03-01 00:00:00,2178
239,2019-04-01 00:00:00,2497
239,2019-05-01 00:00:00,2696
239,2019-06-01 00:00:00,2713
239,2019-07-01 00:00:00,2690
239,2019-08-01 00:00:00,2638
239,2019-09-01 00:00:00,2888
239,2019-10-01 00:00:00,2602
239,2019-11-01 00:00:00,1877
239,2019-12-01 00:00:00,1426
241,2019-01-01 00:00:00,798
241,2019-02-01 00:00:00,749
241,2019-03-01 00:00:00,1092
241,2019-04-01 00:00:00,1567
241,2019-05-01 00:00:00,1852
241,2019-06-01 00:00:00,2091
241,2019-07-01 00:00:00,1844
241,2019-08-01 00:00:00,2003
241,2019-09-01 00:00:00,2077
241,2019-10-01 00:00:00,1525
241,2019-11-01 00:00:00,986
241,2019-12-01 00:00:00,680
242,2019-01-01 00:00:00,490
242,2019-02-01 00:00:00,492
242,2019-03-01 00:00:00,798
242,2019-04-01 00:00:00,1012
242,2019-05-01 00:00:00,1187
242,2019-06-01 00:00:00,1401
242,2019-07-01 00:00:00,1190
242,2019-08-01 00:00:00,1418
242,2019-09-01 00:00:00,1431
242,2019-10-01 00:00:00,1347
242,2019-11-01 00:00:00,928
242,2019-12-01 00:00:00,517
243,2019-01-01 00:00:00,637
243,2019-02-01 00:00:00,588
243,2019-03-01 00:00:00,830
243,2019-04-01 00:00:00,1157
243,2019-05-01 00:00:00,1251
243,2019-06-01 00:00:00,1278
243,2019-07-01 00:00:00,1409
243,2019-08-01 00:00:00,1500
243,2019-09-01 00:00:00,1501
243,2019-10-01 00:00:00,1309
243,2019-11-01 00:00:00,1015
243,2019-12-01 00:00:00,665
244,2019-01-01 00:00:00,1037
244,2019-02-01 00:00:00,1123
244,2019-03-01 00:00:00,1395
244,2019-04-01 00:00:00,1765
244,2019-05-01 00:00:00,1729
244,2019-06-01 00:00:00,1806
244,2019-07-01 00:00:00,1771
244,2019-08-01 00:00:00,1915
244,2019-09-01 00:00:00,1868
244,2019-10-01 00:00:00,1526
244,2019-11-01 00:00:00,1089
244,2019-12-01 00:00:00,889
245,2019-01-01 00:00:00,484
245,2019-02-01 00:00:00,433
245,2019-03-01 00:00:00,514
245,2019-04-01 00:00:00,749
245,2019-05-01 00:00:00,883
245,2019-06-01 00:00:00,1135
245,2019-07-01 00:00:00,1100
245,2019-08-01 00:00:00,1198
245,2019-09-01 00:00:00,1136
245,2019-10-01 00:00:00,942
245,2019-11-01 00:00:00,650
245,2019-12-01 00:00:00,419
247,2019-01-01 00:00:00,1335
247,2019-02-01 00:00:00,1341
247,2019-03-01 00:00:00,1784
247,2019-04-01 00:00:00,752
247,2019-05-01 00:00:00,3515
247,2019-06-01 00:00:00,4643
247,2019-07-01 00:00:00,4443
247,2019-08-01 00:00:00,4727
247,2019-09-01 00:00:00,4935
247,2019-10-01 00:00:00,4252
247,2019-11-01 00:00:00,2996
247,2019-12-01 00:00:00,1801
248,2019-01-01 00:00:00,624
248,2019-02-01 00:00:00,555
248,2019-03-01 00:00:00,793
248,2019-04-01 00:00:00,1156
248,2019-05-01 00:00:00,1222
248,2019-06-01 00:00:00,1211
248,2019-07-01 00:00:00,1237
248,2019-08-01 00:00:00,1337
248,2019-09-01 00:00:00,1404
248,2019-10-01 00:00:00,1210
